AAABAABAACAA,AAABAABAACAAA,S.E.E.ES..
AAABBAAAAACBBAB,AAABBAAAAACBBABA,.E.E....E.
AAABBCAAAABBAC,AAABBCAAAABBACA,..S...E...
AAABBBACAABAABA,AAABBBACAABAABAA,E.......E.
AAAACAAABBAAACB,AAAACAAABBAAACBB,....SS.S..
AAAACAAAABBABAA,AAAACAAAABBABAAA,.SE.E.....
AAABBBABAABAAA,AAABBBABAABAAAC,.....E..S.
AAAAAABABBBBAAC,AAAAAABABBBBAACA,E......SE.
AAABBAAABABBABA,AAABBAAABABBABAB,..SE..EE..
AAABAACAABBCABA,AAABAACAABBCABAA,.E..EEE..E
AAABBBAAABACCCC,AAABBBAAABACCCCA,.....E.E.S
AAABBBABAABCAAA,AAABBBABAABCAAAB,......E...
AAAABAABAACAB,AAAABAABAACABC,.S..E...E.
AAABBBACBBCBBAC,AAABBBACBBCBBACB,E.....S.E.
AAABBABAABAABA,AAABBABAABAABAB,E....SE.EE
AAABBABABCACAA,AAABBABABCACAAA,.EE...E..E
AAABBBCABCAAABA,AAABBBCABCAAABAA,E.E.S...SE
AAAAAABABBBBAAB,AAAAAABABBBBAABB,.EES....S.
AAAABAABCAAAAB,AAAABAABCAAAABA,ESS....SS.
AAABAACBABAAC,AAABAACBABAACC,.E........
AAAACAAAACBACBC,AAAACAAAACBACBCB,..S.EE....
AAABBCABBACBAB,AAABBCABBACBABA,..E....E..
AAABAACAABBCBCC,AAABAACAABBCBCCA,..E..E....
AAABBBCBAACB,AAABBBCBAACBB,...SE..EE.
AAAACAAAACACAAA,AAAACAAAACACAAAC,...E.EE..S
AAABBBCBAACBABB,AAABBBCBAACBABBA,....E.....
AAABBBAAABACC,AAABBBAAABACCA,....EEEEEE
AAABBBABAABCA,AAABBBABAABCAA,SE.E...E..
AAABBAAABACCAAA,AAABBAAABACCAAAB,EES.E.....
AAABAACBAACBAAB,AAABAACBAACBAABA,....S.E.E.
AAAACAAACABBAB,AAAACAAACABBABC,..........
AAABBABABBAAAAB,AAABBABABBAAAABA,S...EE.SEE
AAABBBACCABABA,AAABBBACCABABAA,.E.S....E.
AAABBBACCABACCA,AAABBBACCABACCAA,.SE.S....S
AAAACAACAAABBBC,AAAACAACAAABBBCB,...S..ES..
AAAAAAAAACBCABA,AAAAAAAAACBCABAB,E..E....SE
AAABBBACBBAAAA,AAABBBACBBAAAAC,ESS....E..
AAABBCABCBBAABC,AAABBCABCBBAABCB,....S.....
AAAAAAAAACCBC,AAAAAAAAACCBCC,ES...E.ES.
AAAAAAAAACCBCB,AAAAAAAAACCBCBC,.S..S.EE..
AAABAAAAAAAAB,AAABAAAAAAAABA,.SS..E..S.
AAABAABABAABAA,AAABAABABAABAAB,.E.SEESES.
AAABBBBBAAAAAAA,AAABBBBBAAAAAAAA,E..E......
AAABBCAAABABCAC,AAABBCAAABABCACA,.E........
AAABAABBBABCA,AAABAABBBABCAC,.E........
AAABBBABAABBAA,AAABBBABAABBAAA,.E.S.SE...
AAABBCAAABABC,AAABBCAAABABCB,....SS..S.
AAABBCABCBBAABB,AAABBCABCBBAABBA,...ESEEES.
AAAAAAAAACBCCCB,AAAAAAAAACBCCCBA,...E.SE.ES
AAABAACAABBCAB,AAABAACAABBCABA,..SSE...S.
AAABAABAAABAACA,AAABAABAAABAACAA,E...E...E.
AAABBCABCBCBAA,AAABBCABCBCBAAA,E.SSE..E.S
AAABBCBAAAAAAC,AAABBCBAAAAAACB,..E.......
AAABAABAACABAAB,AAABAABAACABAABC,.SE..EEE..
AAABBBACAAAABAA,AAABBBACAAAABAAB,.S.E..E.S.
AAAABAABAACAAAA,AAAABAABAACAAAAC,EES...EES.
AAABBBAAA,AAABBBAAAA,....E.....
AAAACAAABAABAA,AAAACAAABAABAAB,..S....S..
AAABAACBAAABBCB,AAABAACBAAABBCBA,.E..SE.E..
AAAAAABAABCBCAC,AAAAAABAABCBCACB,.E.E......
AAABAACBABCBAB,AAABAACBABCBABA,..S.E.E...
AAABAABAAABAABA,AAABAABAAABAABAC,....S...S.
AAABBCABCBBBACB,AAABBCABCBBBACBA,.SE..E.E..
AAAAAAAAACBCABB,AAAAAAAAACBCABBB,E.E.E.....
AAAAAAAAACBACBA,AAAAAAAAACBACBAA,.ES.......
AAABBBCBAACAABB,AAABBBCBAACAABBB,E..EE...ES
AAAACAAACABABAC,AAAACAAACABABACA,SES......E
AAABBBCABAABC,AAABBBCABAABCA,E.S..ES...
AAAACAAABBAB,AAAACAAABBABA,..E..S...E
AAABBBBAAACCAAA,AAABBBBAAACCAAAA,..E.......
AAABBBACCAABBBC,AAABBBACCAABBBCB,E..S.E.SE.
AAAAAABAABCBCAB,AAAAAABAABCBCABA,E......E..
AAAACAAAACACBAB,AAAACAAAACACBABB,.S.SEE.E..
AAAACAABAAACA,AAAACAABAAACAA,.....E.S..
AAAAAAAAABBABCA,AAAAAAAAABBABCAB,.E....S...
AAAABAABAACACCA,AAAABAABAACACCAA,.E...S....
AAABAABABAABBA,AAABAABABAABBAA,..........
AAABBABAABABAAA,AAABBABAABABAAAA,..E....E..
AAABBAAABACBBA,AAABBAAABACBBAC,.........E
AAAACAAABABC,AAAACAAABABCB,S..S...EE.
AAAABAABBAAABAA,AAAABAABBAAABAAA,..E.......
AAABBBACBCCACAB,AAABBBACBCCACABB,.S.E.E.S.E
AAABBABAAAAAA,AAABBABAAAAAAA,EEEE.S.SES
AAAAAAAACAAAC,AAAAAAAACAAACB,...E......
AAAAAAAAABACCCA,AAAAAAAAABACCCAB,...E.S....
AAABBBABAABCCBA,AAABBBABAABCCBAA,..E.EE....
AAABAABABAABBBB,AAABAABABAABBBBC,..EE..E...
AAABAABBBBBAABC,AAABAABBBBBAABCA,SSS...E...
AAABBCBABAABBB,AAABBCBABAABBBB,...SS...EE
AAABBBACBCCBA,AAABBBACBCCBAA,.EEE......
AAAACAAABBBCAAA,AAAACAAABBBCAAAA,S....E....
AAABAABBBABCABA,AAABAABBBABCABAB,E.ESE.SS.E
AAABAABAABBAAA,AAABAABAABBAAAB,SE....S...
AAAACAACBAAAACA,AAAACAACBAAAACAA,..EE...SE.
AAABAAAAACAAABB,AAABAAAAACAAABBA,E.S.SSS..S
AAAABAAAAAAACAA,AAAABAAAAAAACAAB,E...E.SSES
AAAACAAAACABCBB,AAAACAAAACABCBBA,..E.......
AAAACAACBACBAB,AAAACAACBACBABB,....EE..E.
AAAAAABACAABAAA,AAAAAABACAABAAAA,E...E.....
AAABAABAAABBBA,AAABAABAAABBBAA,..E..S..SE
AAAACAAAACACCCB,AAAACAAAACACCCBA,......EE..
AAABBCAAAAAACB,AAABBCAAAAAACBA,.E.E....EE
AAAACAAAACBAAAB,AAAACAAAACBAAABA,...SS.E...
AAABBBBAAABABAA,AAABBBBAAABABAAB,..E.S..S..
AAAABAABAAAACB,AAAABAABAAAACBB,E.SE...E.E
AAABAACBBABCBA,AAABAACBBABCBAB,E....E...E
AAABBBAAABAAB,AAABBBAAABAABC,.E.SSS.S..
AAABBBCBAACBAA,AAABBBCBAACBAAC,.E.ES.EE..
AAABBB,AAABBBC,........E.
AAABBABAABBAAAB,AAABBABAABBAAABA,E.S.......
AAABBBABABACAAA,AAABBBABABACAAAC,.E.......E
AAAAAABAABCBBAA,AAAAAABAABCBBAAA,E..E.S....
AAABBBACBBCBCBB,AAABBBACBBCBCBBA,EE.E.E....
AAAAAABAABBABB,AAAAAABAABBABBC,E..EE..S.E
AAAABAABAACACA,AAAABAABAACACAA,.......EEE
AAABBBABAAABABC,AAABBBABAAABABCA,...E.EE.E.
AAAAAAAAACBBA,AAAAAAAAACBBAA,E..E.EE.E.
AAABBAAABACBB,AAABBAAABACBBA,..EEE...E.
AAABBCAAABABCA,AAABBCAAABABCAC,.E...SE.EE
AAABAACAABBABB,AAABAACAABBABBA,.S....EE..
AAABB,AAABBC,E..EE..E..
AAABBABABBBCCB,AAABBABABBBCCBC,.E........
AAABAABAAABCBC,AAABAABAAABCBCC,EE......S.
AAAACAAACAAAAB,AAAACAAACAAAABC,.SES..E...
AAABAACBABBAAAA,AAABAACBABBAAAAC,.E........
AAAACAAACBBBCBA,AAAACAAACBBBCBAB,.....E.E..
AAABAACBACAA,AAABAACBACAAA,EE......EE
AAABAACAABBCBBA,AAABAACAABBCBBAB,...E....SE
AAABAABAAABBCA,AAABAABAAABBCAA,..E...E...
AAABBBCABBBCAAB,AAABBBCABBBCAABB,.S...S..S.
AAAAAAAABBABAAC,AAAAAAAABBABAACA,.S...SEE.E
AAAACAAABAAAABA,AAAACAAABAAAABAA,........ES
AAABAACBABCCA,AAABAACBABCCAA,S..E.....E
AAABBBACBBCBBB,AAABBBACBBCBBBB,....ES.S..
AAABAACBABBAAAB,AAABAACBABBAAABB,E...S..E.E
AAAABAAAB,AAAABAAABA,.E........
AAAACAAACABABA,AAAACAAACABABAB,S.......EE
AAABAACABABBB,AAABAACABABBBA,.......E..
AAAABAABCCAAAB,AAAABAABCCAAABB,.EE.......
AAAABAAABAAABCA,AAAABAAABAAABCAA,..E..SS.E.
AAABAABAABCAA,AAABAABAABCAAB,.E....E..E
AAABBCAAABCAABB,AAABBCAAABCAABBA,.E.......E
AAAABAABCCABAA,AAAABAABCCABAAB,E.........
AAABBABABCAAB,AAABBABABCAABA,....E.E.E.
AAABBBBAABAAAAA,AAABBBBAABAAAAAC,......SE..
AAABBBACBBAACBC,AAABBBACBBAACBCA,..E..S...E
AAABBCAAAABBACB,AAABBCAAAABBACBA,E.ES..E..S
AAABBABAABAACBB,AAABBABAABAACBBA,....S...S.
AAAAAAAABBCC,AAAAAAAABBCCA,...EE.ESSE
AAAAAAAABBABBB,AAAAAAAABBABBBA,S.........
AAABBCABCABCCAA,AAABBCABCABCCAAA,.E..E....E
AAAAAAAAABACAB,AAAAAAAAABACABC,..SS.EE.E.
AAAABAABCBCB,AAAABAABCBCBA,..........
AAABBBCAAAABBB,AAABBBCAAAABBBA,EE...E....
AAABBAAABCCABB,AAABBAAABCCABBA,SE....E.S.
AAABBABABCAAA,AAABBABABCAAAA,S...SS..S.
AAAACAAAACBAAAC,AAAACAAAACBAAACA,.E.....EES
AAABAABAABBACB,AAABAABAABBACBA,.E....EE..
AAABBBAAABABAAA,AAABBBAAABABAAAB,.E..E...E.
AAABBABABBBBBAA,AAABBABABBBBBAAC,..E.E..S.S
AAABBBBABACB,AAABBBBABACBA,SS........
AAABBCABCBABAA,AAABBCABCBABAAA,EE..E..S..
AAABAACBBABBABA,AAABAACBBABBABAB,..........
AAAAAABACAABAA,AAAAAABACAABAAA,ES.ESE....
AAAACAABACAAAB,AAAACAABACAAABC,E.E..E....
AAABBABABCABCAA,AAABBABABCABCAAA,E..S.....S
AAABBBCBAACAA,AAABBBCBAACAAC,.EE....E..
AAAAAAAAABBBACA,AAAAAAAAABBBACAA,E.SE.E.E.S
AAAAAABACAAABB,AAAAAABACAAABBC,E.SSE...SE
AAABAACAABBAABA,AAABAACAABBAABAA,.........S
AAAAAAAAAC,AAAAAAAAACC,E.E...E...
AAABBAAAAABAAC,AAABBAAAAABAACC,..E....SES
AAABBAAABCA,AAABBAAABCAA,..E.E.S.S.
AAABBAAAAAAAABB,AAABBAAAAAAAABBB,.S.SSEE..E
AAABBBCBAACCAAC,AAABBBCBAACCAACB,.S.E.....E
AAABBBAAABBCBBA,AAABBBAAABBCBBAC,.....E..S.
AAABBAAAAABBBAB,AAABBAAAAABBBABA,...ES.....
AAAACAAACABCAA,AAAACAAACABCAAC,SSEE......
AAABBCABCABAACA,AAABBCABCABAACAA,EEEE......
AAABAACBA,AAABAACBAA,.E..EE....
AAABBABABAABBAA,AAABBABABAABBAAA,ES......E.
AAAAAAAABBCAACA,AAAAAAAABBCAACAB,S....EE...
AAABAACBAAACABA,AAABAACBAAACABAA,E.......SS
AAABAACBBAAABAC,AAABAACBBAAABACA,.....S..ES
AAABBCABBACAAA,AAABBCABBACAAAA,....E...S.
AAAAAAAAACCBBAA,AAAAAAAAACCBBAAA,S.S.S..S..
AAAACAACBBBBBAB,AAAACAACBBBBBABA,.S..E.SSE.
AAAACAAABABCB,AAAACAAABABCBB,....S.E..E
AAABBCABAAB,AAABBCABAABA,....EEE..E
AAABBBACABCAAAA,AAABBBACABCAAAAB,.EESE....E
AAAAAABAABC,AAAAAABAABCA,..........
AAAACAAACBBAACB,AAAACAAACBBAACBA,..........
AAAACAACBACBCAA,AAAACAACBACBCAAA,......S...
AAAACAAAACCBBAA,AAAACAAAACCBBAAA,..E..SS...
AAABBAAABBABAAA,AAABBAAABBABAAAB,E.E.....ES
AAAABAAAAAAABAC,AAAABAAAAAAABACB,SS.ESE.E..
AAABBCAAAABBABB,AAABBCAAAABBABBB,.E..ESE..E
AAABBABAAA,AAABBABAAAB,.....E....
AAABBBACABAACBA,AAABBBACABAACBAB,E.....EE.E
AAAABAABCBCAABA,AAAABAABCBCAABAC,.....E.S..
AAAACAACBACABC,AAAACAACBACABCC,...EE...S.
AAABBBCAAAAABCA,AAABBBCAAAAABCAA,.E.SE.....
AAAAAAAABCAAAAC,AAAAAAAABCAAAACC,..EE.SS...
AAABAACBAACBC,AAABAACBAACBCB,E.....S..S
AAABBCABCABCBAA,AAABBCABCABCBAAB,.E...E.SS.
AAABBCABCBBBAB,AAABBCABCBBBABA,..E....E.E
AAAABAABCABBB,AAAABAABCABBBB,....E.S...
AAABBCAAAAAACAA,AAABBCAAAAAACAAB,...E..E.E.
AAABBBCABAA,AAABBBCABAAA,...E..S.E.
AAABBBACBBCBB,AAABBBACBBCBBC,SE....SS.E
AAAACAACBABBABC,AAAACAACBABBABCA,.S....S...
AAABBCAAAAAACAA,AAABBCAAAAAACAAA,E.......E.
AAABBAAABA,AAABBAAABAB,S..E.E.EES
AAAABAABCCAAAC,AAAABAABCCAAACB,..........
AAAAAAAAACCCCAC,AAAAAAAAACCCCACB,.SS.......
AAAAAAAABCAACA,AAAAAAAABCAACAA,..E..E..S.
AAAACAAAACACCC,AAAACAAAACACCCB,...E.E.EE.
AAAACAAACAB,AAAACAAACABB,..SES.E...
AAAACAAACABBABA,AAAACAAACABBABAA,EE........
AAABBAAAAABBBAC,AAABBAAAAABBBACC,S...E..EE.
AAABAACABABB,AAABAACABABBB,...EE...S.
AAAABAABAAABACB,AAAABAABAAABACBB,..E.SE.SS.
AAABBBACBAAABAA,AAABBBACBAAABAAA,S.S...ESE.
AAABAACBBABCBA,AAABAACBBABCBAC,..E.E...EE
AAAACAABABABAB,AAAACAABABABABA,....E..S.E
AAABBBACBCBABA,AAABBBACBCBABAB,..E.SE.E..
AAABBBBAAAACCA,AAABBBBAAAACCAA,.S.E..EE..
AAABBBACBCBBCAA,AAABBBACBCBBCAAB,.S.S.S....
AAABBBACBCAAAB,AAABBBACBCAAABA,E.E....S..
AAABBCAAAAAABBB,AAABBCAAAAAABBBC,EEE.E....E
AAABBBACBCBBBAB,AAABBBACBCBBBABB,ES.E.EE...
AAAABAABAAABAAA,AAAABAABAAABAAAA,..S....EES
AAAACAAAACBACA,AAAACAAAACBACAB,.S....E..S
AAABBCBAAAAAA,AAABBCBAAAAAAC,.EE.SEE...
AAABBBBABACAB,AAABBBBABACABB,EE..S.....
AAAABAABCBABCBB,AAAABAABCBABCBBB,.......E.E
AAAABAABCBCACB,AAAABAABCBCACBA,S.EE.EES..
AAABBCABAABBBA,AAABBCABAABBBAC,...S.....E
AAAAAABAABAAAAA,AAAAAABAABAAAAAA,.....E..E.
AAABBBAAABBCCAB,AAABBBAAABBCCABA,.S...E.E..
AAABAABBBAACBAB,AAABAABBBAACBABC,......SSE.
AAABBCABCBAC,AAABBCABCBACB,..SE..S.S.
AAABBBACABAAABB,AAABBBACABAAABBA,..EEE.EE..
AAABBABABAABAA,AAABBABABAABAAB,..E..EES..
AAABBABAAABAAAB,AAABBABAAABAAABB,......S.S.
AAAACAAAABBB,AAAACAAAABBBC,.E...E...E
AAABBBACCAAAABB,AAABBBACCAAAABBC,SE...E....
AAAACAAAACCBAC,AAAACAAAACCBACC,......E.E.
AAAABAABCBCBAA,AAAABAABCBCBAAB,S.SE..E...
AAABBBACABAB,AAABBBACABABB,..E..EE.S.
AAABBBACBACAAA,AAABBBACBACAAAB,E..E.EE.S.
AAABBCAAABCAABA,AAABBCAAABCAABAC,.S..ESEE..
AAABBBBACBAAABA,AAABBBBACBAAABAB,S.EE.SS...
AAABBBCAAAAABCB,AAABBBCAAAAABCBA,E...E.....
AAAABAABBBABAAB,AAAABAABBBABAABB,.E.E.S.E..
AAABBBCBAABABAC,AAABBBCBAABABACA,....ESE...
AAABBBCABBBCBBB,AAABBBCABBBCBBBA,......E...
AAAACAACBACBAA,AAAACAACBACBAAC,.E..ES....
AAABBBAAABACACA,AAABBBAAABACACAA,.E.EE.ESE.
AAABBBACBCABAAA,AAABBBACBCABAAAA,..E.E..S.E
AAABAACABABACBA,AAABAACABABACBAA,..E.E.....
AAABBCABCABCB,AAABBCABCABCBA,E.....EE.E
AAABBBACBBCBAA,AAABBBACBBCBAAC,....E.....
AAABBBACBBCBCBB,AAABBBACBBCBCBBC,E.....E..E
AAAACAAABBAB,AAAACAAABBABB,......E.S.
AAABAABAAAB,AAABAABAAABB,SE......S.
AAABAACAABBA,AAABAACAABBAC,....E.....
AAABBBABAB,AAABBBABABA,..EESS..EE
AAABAACABAAAABC,AAABAACABAAAABCB,...E...S.E
AAABAABBBAB,AAABAABBBABB,......E...
AAAAAABABBBCAB,AAAAAABABBBCABA,.E..S..SS.
AAABBBAAABACCAA,AAABBBAAABACCAAB,S.EE.E....
AAAACAAABBBAC,AAAACAAABBBACA,.S.E......
AAABAAAAACA,AAABAAAAACAA,..E......E
AAAACAAABBAABAA,AAAACAAABBAABAAC,.....EE.EE
AAABBBAAABACBB,AAABBBAAABACBBA,E.EEEE..E.
AAABAABABAAA,AAABAABABAAAC,..S.E..S..
AAABBBCBABBABB,AAABBBCBABBABBA,E.E.EE.E..
AAAACAACBBBBCCA,AAAACAACBBBBCCAA,S..E.E...S
AAABBBCABBAABB,AAABBBCABBAABBA,E..S.SS.SE
AAAABAABAACABBB,AAAABAABAACABBBA,E...E...S.
AAAB,AAABB,.......E..
AAABBBCAAAACAB,AAABBBCAAAACABB,EE.EESS...
AAAACAAAACABCAB,AAAACAAAACABCABA,.........E
AAABBCAAAAAA,AAABBCAAAAAAB,EE.E......
AAABBAAABBABABB,AAABBAAABBABABBB,ES.....E..
AAABBAAA,AAABBAAAA,.E.S.S....
AAABBBACCABABB,AAABBBACCABABBA,..S..E.E..
AAAAAABACAABA,AAAAAABACAABAB,S..EE..E.S
AAAAAAAABCAACC,AAAAAAAABCAACCB,...E.E.ES.
AAAABAAABAAABAA,AAAABAAABAAABAAC,....E...S.
AAAAAAAAABACAB,AAAAAAAAABACABA,..E.ES....
AAABBAAAAACBAC,AAABBAAAAACBACB,....EE.SE.
AAABBAAABAAAABC,AAABBAAABAAAABCB,SE....EE..
AAABAABBBAAABCA,AAABAABBBAAABCAA,E..EE.....
AAAACAAABAB,AAAACAAABABC,..E....E..
AAAACAAABCA,AAAACAAABCAC,SS..EE....
AAAACAAAAC,AAAACAAAACC,.SEESE.E.E
AAAABAABCAB,AAAABAABCABB,.S...E...E
AAAACAAACBBACCC,AAAACAAACBBACCCA,....S....E
AAABBAAABACABBA,AAABBAAABACABBAA,SE..EESEEE
AAABBABABAABC,AAABBABABAABCA,..E.......
AAABAACBAAAAACA,AAABAACBAAAAACAA,SE..SE...E
AAABBBACCABABCC,AAABBBACCABABCCA,....SE...S
AAABBABABBBBBA,AAABBABABBBBBAA,..SSSESE..
AAAABAABBBACBCA,AAAABAABBBACBCAA,E..E......
AAABAACAABBCBA,AAABAACAABBCBAC,....S.EE..
AAABBBBAABBABAA,AAABBBBAABBABAAB,.EEEE.....
AAABBAAABACCBA,AAABBAAABACCBAB,..........
AAAACAABABBBABB,AAAACAABABBBABBA,E..S.E..E.
AAABBBBAAABABBA,AAABBBBAAABABBAA,.S.S.S.EE.
AAAABAABCBABAAA,AAAABAABCBABAAAB,.SSEE..EE.
AAABBAAABBBABAA,AAABBAAABBBABAAA,.......E..
AAAACABAAABAACC,AAAACABAAABAACCA,...E...ES.
AAABAACBABAAC,AAABAACBABAACB,......S..E
AAAACAAABAAAAAA,AAAACAAABAAAAAAA,E....E..ES
AAABBAAABCAAAAA,AAABBAAABCAAAAAB,....ES.S..
AAABAACBABAACBB,AAABAACBABAACBBA,.E........
AAABAACAABABCB,AAABAACAABABCBA,S...EES...
AAABBBBAABB,AAABBBBAABBC,....ES.E..
AAABBBAAABACBAA,AAABBBAAABACBAAA,.SS..E....
AAAAAABABBAB,AAAAAABABBABA,.E.S..E.ES
AAABAABABA,AAABAABABAA,.........E
AAAAAAAABBCAAAB,AAAAAAAABBCAAABB,.ES.S..SEE
AAABBAAABAAAAA,AAABBAAABAAAAAB,.........E
AAABAAAAABAACBA,AAABAAAAABAACBAC,S.E...EE.S
AAABBBAAAB,AAABBBAAABC,E...E..SS.
AAAACAABAAAA,AAAACAABAAAAB,E..ES.E..E
AAABBBACBCBB,AAABBBACBCBBB,EEE.E...S.
AAABBCABAAABABB,AAABBCABAAABABBC,E.ES.EE.SS
AAABBBACBCABCBA,AAABBBACBCABCBAA,.E.E.S.E.E
AAABBBACBCAAAA,AAABBBACBCAAAAA,E.ESE.....
AAAABAABAACAA,AAAABAABAACAAA,..S.E.E.S.
AAABBCBABAABBAA,AAABBCBABAABBAAA,..E.......
AAABBBAC,AAABBBACB,..E.EE.E..
AAABBBACBABBBA,AAABBBACBABBBAA,E......E.E
AAABAACABABBAA,AAABAACABABBAAA,......SSES
AAAABAABCAAAB,AAAABAABCAAABB,......EE..
AAABBBABABAC,AAABBBABABACA,E..SSEE...
AAABBBABAAABBAC,AAABBBABAAABBACA,.....EEE.E
AAABBBBAABBBABA,AAABBBBAABBBABAB,S..E......
AAABAABAACABABB,AAABAABAACABABBB,S..EE.....
AAABBCABAABAABB,AAABBCABAABAABBB,EE......E.
AAABAACABABAA,AAABAACABABAAA,.S.S.E..E.
AAABBAAABCCAB,AAABBAAABCCABC,ESE.....E.
AAABBAAABBABAC,AAABBAAABBABACB,........EE
AAABBABABBCAAA,AAABBABABBCAAAA,..E.......
AAAACAACBACCBA,AAAACAACBACCBAB,..E.S.EE..
AAABBBABABABAA,AAABBBABABABAAA,...ESE...E
AAAACAACBBBBBAA,AAAACAACBBBBBAAA,S....S...S
AAABBBCABBBAAAB,AAABBBCABBBAAABB,......EE.E
AAABBBCAAABABBA,AAABBBCAAABABBAC,.SE...E..E
AAABBBBACBBABA,AAABBBBACBBABAA,.E..E..E..
AAAAAAAABCAACBB,AAAAAAAABCAACBBB,.E.....E.E
AAABBBCABAABCAB,AAABBBCABAABCABC,.E..E..S..
AAABAACBAAABBC,AAABAACBAAABBCB,.....EEES.
AAABAACBABCCAAA,AAABAACBABCCAAAA,E..E.E....
AAABBCABCABBB,AAABBCABCABBBB,....EEEEE.
AAAABAABBBAAA,AAAABAABBBAAAA,.EE......E
AAABAAC,AAABAACB,ES..EEE...
AAAACABAAABAAAB,AAAACABAAABAAABB,ESS..E..E.
AAAABAABCBACCBA,AAAABAABCBACCBAA,.EE..E..E.
AAAACAACBBBBCBA,AAAACAACBBBBCBAB,SS..S..S.E
AAABAACBACAACA,AAABAACBACAACAA,.SEEE..E..
AAABAACBAAABA,AAABAACBAAABAA,...EESEES.
AAAABAABBACAB,AAAABAABBACABC,.......S..
AAABBBACBCABCBA,AAABBBACBCABCBAB,.......E..
AAABBAAAAAAAABB,AAABBAAAAAAAABBA,.......E..
AAAACAACBCAAAA,AAAACAACBCAAAAC,....E...EE
AAAACAACBBAAAB,AAAACAACBBAAABA,E....SSESE
AAABBABAAAAAAAB,AAABBABAAAAAAABA,E.SE..SE.E
AAABBABAABABBA,AAABBABAABABBAA,.S.SS...E.
AAABBBBAAAABCAB,AAABBBBAAAABCABA,ES...E...E
AAAACAAABBAACA,AAAACAAABBAACAC,.....E....
AAAACAAAAABABC,AAAACAAAAABABCA,.EES......
AAAACAAAACACCBA,AAAACAAAACACCBAC,EE.E.E.EE.
AAABBABABAAAAAA,AAABBABABAAAAAAA,..E...EE.E
AAABBBACBACBCB,AAABBBACBACBCBA,.SSE......
AAABBBAAABACAAA,AAABBBAAABACAAAA,E......S..
AAABBBACCAABABB,AAABBBACCAABABBA,...S......
AAABBBBAAAABAAA,AAABBBBAAAABAAAA,....S...SS
AAABBBCAAABABAA,AAABBBCAAABABAAA,......S...
AAAACAAABCABAAA,AAAACAAABCABAAAA,......S.EE
AAAAAAAACAABBB,AAAAAAAACAABBBA,.SSE.ES..S
AAAACAAA,AAAACAAAA,E.S.......
AAABAACBAAABBB,AAABAACBAAABBBA,EE.E...S.E
AAAAAABABBABCAC,AAAAAABABBABCACA,..........
AAAACAAAACABBC,AAAACAAAACABBCC,EE...SEE..
AAABAAAAACAAA,AAABAAAAACAAAB,.......S..
AAABAABABACAAB,AAABAABABACAABC,..EE.SE.S.
AAABAAAAACABBA,AAABAAAAACABBAA,.....E..S.
AAABAACAABBAB,AAABAACAABBABA,....E.....
AAABBBCABBBCCA,AAABBBCABBBCCAC,E.S.SS.ES.
AAABAABAAABCBB,AAABAABAAABCBBB,.......E.E
AAAACAAAB,AAAACAAABB,...ESS.S..
AAABAACBBABA,AAABAACBBABAA,E..ES.....
AAABAABBBABABAA,AAABAABBBABABAAA,..E....E.E
AAAACAAABABCCBA,AAAACAAABABCCBAA,..E...E.E.
AAAAAAAAACAAABC,AAAAAAAAACAAABCB,.S...SE..E
AAAACAAAAABAAAA,AAAACAAAAABAAAAB,..........
AAABBCAAAAAABB,AAABBCAAAAAABBB,E.E...E.SS
AAABBCABBACBACA,AAABBCABBACBACAA,EE.EEE...S
AAAAAAAAAAAACAB,AAAAAAAAAAAACABB,.....E...S
AAABAACAABAAAA,AAABAACAABAAAAC,E..SS.....
AAAACAACBBBBCBB,AAAACAACBBBBCBBA,......EESE
AAAACAABAAACA,AAAACAABAAACAB,S....S..EE
AAABBBABABBCACC,AAABBBABABBCACCB,....EE.S..
AAAACAABACBBACC,AAAACAABACBBACCA,.EE..EE.E.
AAABAAAAA,AAABAAAAAC,E.......SE
AAAAAAAAACCCA,AAAAAAAAACCCAA,S.........
AAAAAAAAACCACB,AAAAAAAAACCACBC,.S.ESSE...
AAAACAAABBA,AAAACAAABBAB,.....E..S.
AAABBAAABA,AAABBAAABAC,.E..ES....
AAAABAABCBACAA,AAAABAABCBACAAA,.....E.SS.
AAABBBCAAAAB,AAABBBCAAAABC,E.........
AAAABAABCBACBBB,AAAABAABCBACBBBC,.E...SE...
AAABBBCAAABAAAA,AAABBBCAAABAAAAA,...E.E..ES
AAABBBACBCCBAAB,AAABBBACBCCBAABA,...S..EE.S
AAAABAABAAAACCA,AAAABAABAAAACCAA,....E....S
AAABBCABCAAABBA,AAABBCABCAAABBAC,.EE..E....
AAABBBACAACABBA,AAABBBACAACABBAA,..E.SE...S
AAABAACAABABBBA,AAABAACAABABBBAA,..E.EE.E.S
AAABAAAAABAAA,AAABAAAAABAAAB,.E.S....EE
AAABAABBBAAABAB,AAABAABBBAAABABA,E.E.E.....
AAAACAAAACBABCA,AAAACAAAACBABCAB,.....SE.E.
AAAACAAACBBBAAB,AAAACAAACBBBAABA,......E.EE
AAABBBACBBAABA,AAABBBACBBAABAB,.......E..
AAABBCAAAAB,AAABBCAAAABA,E....S..EE
AAAAAAAAABBBAC,AAAAAAAAABBBACC,EES.E..E..
AAAACAAAACABBCB,AAAACAAAACABBCBB,..E....E..
AAAABAABCAAAABA,AAAABAABCAAAABAB,SE.....E..
AAAAAAAACAAABAB,AAAAAAAACAAABABA,EEES..E.E.
